player_id,name,svpts,aces,df,pct_1stIn,pct_1stWon,pct_2ndWon,pct_SvPtsWon,bp_faced,pct_bp_conv,pct_bp_saved,pct_1stRetPtsWon,pct_2ndRetPtsWon,Grass winRt,Hard winRt,Clay winRt,G winRt,A winRt,M winRt,F winRt,O winRt,recPerf
103657,Ivo Klec,479.0,13.0,18.0,0.566,0.712,0.37,0.564,62.0,0.395,0.581,0.306,0.479,0.0,0.25,0.0,0.0,0.143,0.0,0.0,0.0,0.08748542061904185
103663,Matias Boeker,114.0,5.0,5.0,0.632,0.597,0.381,0.518,15.0,0.5,0.467,0.236,0.489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103672,Ricardo Mello,8752.0,276.0,275.0,0.634,0.642,0.502,0.591,912.0,0.376,0.557,0.252,0.5,0.111,0.317,0.408,0.261,0.364,0.316,0.0,0.0,0.15522282036011364
136440,Dominik Koepfer,8661.0,454.0,370.0,0.62,0.681,0.504,0.614,841.0,0.389,0.611,0.278,0.498,0.273,0.485,0.429,0.5,0.421,0.435,0.0,0.667,0.44747523204216777
103675,Diego Junqueira,3034.0,45.0,85.0,0.686,0.574,0.474,0.543,414.0,0.411,0.524,0.261,0.479,0.0,0.25,0.243,0.375,0.2,0.333,0.0,0.0,0.2742567736186912
103676,Michael Yani,1733.0,108.0,77.0,0.6,0.681,0.496,0.607,148.0,0.283,0.615,0.25,0.477,0.6,0.111,0.0,0.0,0.333,0.0,0.0,0.0,0.06700805302231325
144642,Tomas Barrios Vera,1303.0,57.0,35.0,0.648,0.654,0.499,0.599,144.0,0.378,0.618,0.242,0.481,0.333,0.0,0.4,0.25,0.364,0.0,0.0,0.0,0.3059176718025727
103682,Kyu Tae Im,146.0,4.0,4.0,0.562,0.634,0.469,0.562,12.0,0.5,0.333,0.268,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103684,Benedikt Dorsch,200.0,11.0,3.0,0.65,0.554,0.5,0.535,23.0,0.2,0.391,0.3,0.346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144645,Zdenek Kolar,472.0,17.0,22.0,0.653,0.685,0.445,0.602,39.0,0.409,0.59,0.227,0.4,0.0,0.0,0.333,0.333,0.0,0.0,0.0,0.0,0.40028012296394655
103690,Marcin Matkowski,92.0,5.0,8.0,0.402,0.622,0.327,0.446,16.0,0.4,0.438,0.676,0.522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144652,William Blumberg,58.0,7.0,2.0,0.586,0.794,0.542,0.69,6.0,0.143,0.5,0.559,0.458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103693,Thierry Ascione,3207.0,136.0,108.0,0.658,0.648,0.478,0.59,334.0,0.328,0.566,0.22,0.466,0.0,0.176,0.263,0.111,0.233,0.333,0.0,0.0,0.10786397389232596
103694,Olivier Rochus,27228.0,600.0,856.0,0.619,0.665,0.517,0.609,2688.0,0.402,0.603,0.272,0.526,0.54,0.479,0.345,0.382,0.491,0.423,0.0,0.5,0.354915764484751
103700,Juan Pablo Guzman,1229.0,57.0,45.0,0.604,0.685,0.478,0.603,115.0,0.343,0.574,0.279,0.457,0.0,0.333,0.286,0.0,0.333,0.0,0.0,0.0,0.2745220909954428
103701,Diego Hartfield,3364.0,168.0,127.0,0.65,0.656,0.481,0.595,327.0,0.338,0.569,0.294,0.507,0.0,0.125,0.441,0.167,0.415,0.0,0.0,0.0,0.3715924008469197
103702,Stefano Ianni,108.0,3.0,8.0,0.556,0.683,0.438,0.574,14.0,0.375,0.643,0.217,0.429,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0
210202,Rodrigo Pacheco Mendez,291.0,3.0,13.0,0.66,0.547,0.455,0.515,31.0,0.364,0.323,0.198,0.471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103708,Jaroslav Pospisil,540.0,15.0,41.0,0.533,0.646,0.44,0.55,76.0,0.323,0.553,0.24,0.449,0.0,0.333,0.0,0.0,0.143,0.0,0.0,0.0,0.0
103709,Kristian Pless,3224.0,246.0,143.0,0.614,0.704,0.506,0.628,288.0,0.38,0.569,0.257,0.454,0.222,0.261,0.286,0.222,0.267,0.0,0.0,0.0,0.11945650654530383
103714,Andreas Vinciguerra,1789.0,112.0,53.0,0.639,0.687,0.524,0.628,155.0,0.477,0.626,0.236,0.475,0.0,0.2,0.412,0.0,0.364,0.0,0.0,0.0,0.17267643852529846
103716,Uros Vico,488.0,52.0,13.0,0.566,0.703,0.533,0.629,44.0,0.529,0.659,0.178,0.407,0.0,0.5,0.0,0.0,0.333,0.0,0.0,0.0,0.12506126339170004
