player_id,hand,dob,ioc,height,wikidata_id,name
100146,R,19471001.0,JPN,,Q11588830,Jun Kamiwazumi
100147,R,19471005.0,MEX,,Q1565079,Marcello Lara
100148,R,19471115.0,EGY,,Q402950,Ismail El Shafei
100149,R,19471123.0,JPN,,Q962038,Toshiro Sakai
100150,R,19471205.0,ARG,,Q963823,Lito Alvarez
100151,R,19471217.0,AUS,180.0,Q16855126,Karl Coombes
100152,R,19480103.0,GBR,,Q3018308,David Lloyd
100153,R,19480105.0,FRA,188.0,Q3368955,Patrice Hagelauer
100154,R,19480116.0,SUI,,Q86628337,Peter Kanderal
100155,R,19470130.0,BOL,,,Ramiro Benavides
100156,R,19480204.0,IND,,Q18091541,Jasjit Singh
100157,R,19480211.0,USA,185.0,,Stanley Pasarell
100158,R,19480317.0,AUS,188.0,Q6220953,John Bartlett
100159,R,19480423.0,RUS,,Q12488,Vladimir Korotkov
100160,R,19480426.0,FRA,173.0,Q1563939,Georges Goven
100161,R,19480528.0,GER,,Q77578,Jurgen Fassbender
100162,R,19480613.0,NZL,173.0,Q1563153,Brian Fairlie
100163,R,19480715.0,USA,175.0,Q1563959,Tom Leonard
100164,R,19480731.0,USA,,,Bill Lofgren
100165,R,19480904.0,USA,,Q23023819,Steve Siegel
100166,R,19481001.0,USA,,,Gene Malin
100167,R,19481023.0,ROU,,Q7457808,Sever Muresan
100168,R,19481125.0,USA,,,Kenneth McMillan
100169,R,19481201.0,AUS,,Q3147262,Ian Fletcher
100170,R,19481203.0,BEL,,Q2898324,Bernard Mignot
100171,R,19481212.0,RSA,,Q3182800,John Yuill
100172,R,19490101.0,ARG,173.0,Q2040551,Tito Vazquez
100173,R,19490130.0,USA,188.0,Q716408,Andrew Pattison
100174,L,19490206.0,ESP,178.0,Q318569,Manuel Orantes
100175,R,19490212.0,USA,,Q22278049,Zan Guerry
100176,L,19490223.0,AUT,172.0,Q3126972,Hans Kary
100177,R,19490228.0,CZE,,Q7155624,Pavel Hutka
100178,R,19490407.0,AUS,,Q2907669,Bob Giltinan
100179,R,19490430.0,GER,178.0,Q89533,Karl Meiler
100180,R,19490507.0,AUS,,,Bill Lloyd
100181,R,19490604.0,USA,,,Larry Turville
100182,R,19490719.0,USA,173.0,Q4107672,Mike Estep
100183,R,19490728.0,USA,,,Jim Ward
100184,R,19490818.0,DEN,,Q16064404,Lars Elvstrom
